01-08 01:21:08 Model para number = 14.73
01-08 01:39:15 [ 1] Lr: 0.001000, Training: 1.91%,  Loss: 15.63786, ACC: 0.00% 
01-08 01:39:15 [ 1] Lr: 0.001000, Training: 1.92%,  Loss: 15.63477, ACC: 0.00% 
01-08 01:39:15 [ 1] Lr: 0.001000, Training: 1.93%,  Loss: 15.63310, ACC: 0.00% 
01-08 01:39:16 [ 1] Lr: 0.001000, Training: 1.94%,  Loss: 15.63010, ACC: 0.00% 
01-08 01:39:35 [ 1] Lr: 0.001000, Training: 1.95%,  Loss: 15.62775, ACC: 0.00% 
01-08 01:39:35 [ 1] Lr: 0.001000, Training: 1.96%,  Loss: 15.62529, ACC: 0.00% 
01-08 01:39:36 [ 1] Lr: 0.001000, Training: 1.97%,  Loss: 15.62225, ACC: 0.00% 
01-08 01:39:36 [ 1] Lr: 0.001000, Training: 1.98%,  Loss: 15.62057, ACC: 0.00% 
01-08 01:39:59 [ 1] Lr: 0.001000, Training: 1.99%,  Loss: 15.61526, ACC: 0.00% 
01-08 01:39:59 [ 1] Lr: 0.001000, Training: 2.00%,  Loss: 15.61410, ACC: 0.00% 
01-08 01:39:59 [ 1] Lr: 0.001000, Training: 2.01%,  Loss: 15.61110, ACC: 0.00% 
01-08 01:40:00 [ 1] Lr: 0.001000, Training: 2.01%,  Loss: 15.60802, ACC: 0.00% 
01-08 01:40:17 [ 1] Lr: 0.001000, Training: 2.02%,  Loss: 15.60399, ACC: 0.00% 
01-08 01:40:18 [ 1] Lr: 0.001000, Training: 2.03%,  Loss: 15.60098, ACC: 0.00% 
01-08 01:40:18 [ 1] Lr: 0.001000, Training: 2.04%,  Loss: 15.59939, ACC: 0.00% 
01-08 01:40:18 [ 1] Lr: 0.001000, Training: 2.05%,  Loss: 15.59632, ACC: 0.00% 
01-08 01:40:36 [ 1] Lr: 0.001000, Training: 2.06%,  Loss: 15.59323, ACC: 0.00% 
01-08 01:40:36 [ 1] Lr: 0.001000, Training: 2.07%,  Loss: 15.59028, ACC: 0.00% 
01-08 01:40:37 [ 1] Lr: 0.001000, Training: 2.08%,  Loss: 15.58688, ACC: 0.00% 
01-08 01:40:37 [ 1] Lr: 0.001000, Training: 2.09%,  Loss: 15.58420, ACC: 0.00% 
01-08 01:40:59 [ 1] Lr: 0.001000, Training: 2.10%,  Loss: 15.58146, ACC: 0.00% 
01-08 01:40:59 [ 1] Lr: 0.001000, Training: 2.11%,  Loss: 15.57865, ACC: 0.00% 
01-08 01:40:59 [ 1] Lr: 0.001000, Training: 2.12%,  Loss: 15.57451, ACC: 0.00% 
01-08 01:41:00 [ 1] Lr: 0.001000, Training: 2.12%,  Loss: 15.57354, ACC: 0.00% 
01-08 01:41:20 [ 1] Lr: 0.001000, Training: 2.13%,  Loss: 15.56991, ACC: 0.00% 
01-08 01:41:20 [ 1] Lr: 0.001000, Training: 2.14%,  Loss: 15.56757, ACC: 0.00% 
01-08 01:41:21 [ 1] Lr: 0.001000, Training: 2.15%,  Loss: 15.56602, ACC: 0.00% 
01-08 01:41:21 [ 1] Lr: 0.001000, Training: 2.16%,  Loss: 15.56245, ACC: 0.00% 
01-08 01:41:37 [ 1] Lr: 0.001000, Training: 2.17%,  Loss: 15.55889, ACC: 0.00% 
01-08 01:41:38 [ 1] Lr: 0.001000, Training: 2.18%,  Loss: 15.55545, ACC: 0.00% 
01-08 01:41:38 [ 1] Lr: 0.001000, Training: 2.19%,  Loss: 15.55293, ACC: 0.00% 
01-08 01:41:38 [ 1] Lr: 0.001000, Training: 2.20%,  Loss: 15.54936, ACC: 0.00% 
01-08 01:41:59 [ 1] Lr: 0.001000, Training: 2.21%,  Loss: 15.54483, ACC: 0.00% 
01-08 01:41:59 [ 1] Lr: 0.001000, Training: 2.22%,  Loss: 15.54044, ACC: 0.00% 
01-08 01:41:59 [ 1] Lr: 0.001000, Training: 2.23%,  Loss: 15.53782, ACC: 0.00% 
01-08 01:42:00 [ 1] Lr: 0.001000, Training: 2.23%,  Loss: 15.53597, ACC: 0.00% 
01-08 01:42:19 [ 1] Lr: 0.001000, Training: 2.24%,  Loss: 15.53340, ACC: 0.00% 
01-08 01:42:20 [ 1] Lr: 0.001000, Training: 2.25%,  Loss: 15.53120, ACC: 0.00% 
01-08 01:42:20 [ 1] Lr: 0.001000, Training: 2.26%,  Loss: 15.52908, ACC: 0.00% 
